"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"772","RT @KPRC2: Rosenberg couple saves home from #Harvey floods by using Aqua Dam. Details, more pics-&gt;https://t.co/CTqXEqz2yf #KPRC2 #HoustonSt…",FALSE,0,NA,2017-09-04 23:43:48,FALSE,NA,"904852529242099714",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MMrbracy",298,TRUE,FALSE,NA,NA
"773","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:43:48,FALSE,NA,"904852525504966657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Old_BaldFat_Guy",11772,TRUE,FALSE,NA,NA
"774","@RulingVenus @exoticgamora @AgentScullyGR @CatWomanResists @Finnick_Resists @DeepInTheHills @KidCasteel… https://t.co/IKiMv2jeJm",FALSE,5,"RulingVenus",2017-09-04 23:43:46,TRUE,"904851662388514816","904852518273986560","760053765210800128","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ladyhawkerfinds",1,FALSE,FALSE,NA,NA
"775","RT @MartinHajovsky: This week's @NewYorker cover, drawn by @UTAustin grad Chris Ware. Wow. #Harvey #HoustonStrong https://t.co/8J6Y3yOT0h h…",FALSE,0,NA,2017-09-04 23:43:45,FALSE,NA,"904852515740688384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FranzPuyol",16,TRUE,FALSE,NA,NA
"776","RT @CNN: Jim ""Mattress Mack"" McIngvale explains what it's like providing refuge for #Harvey evacuees in his furniture store https://t.co/ra…",FALSE,0,NA,2017-09-04 23:43:43,FALSE,NA,"904852508056551425",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","romantwin22",8576,TRUE,FALSE,NA,NA
"777","RT @Prime_Politics: POLL: Do You Approve or Disapprove of Pres. Trump's Response to Hurricane Harvey?

VOTE &amp; RETWEET

#POTUS #Harvey",FALSE,0,NA,2017-09-04 23:43:42,FALSE,NA,"904852502243405825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RosarioReynos10",2884,TRUE,FALSE,NA,NA
"778","RT @NWSNorman: We did it for #Harvey, now for #Irma, unfortunately... So why are we doing 6 hourly balloon releases? Here's why. #SCIENCE!…",FALSE,0,NA,2017-09-04 23:43:40,FALSE,NA,"904852493431177216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandybeach08",296,TRUE,FALSE,NA,NA
"779","RT @AP: A Muslim youth association helps Houston clean up after #Harvey in this #360video. @AP's latest on the recovery: https://t.co/CYwHq…",FALSE,0,NA,2017-09-04 23:43:39,FALSE,NA,"904852489203314698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","midagechick",337,TRUE,FALSE,NA,NA
"780","RT @SalvationArmyUS: So far, we've served over 200,000 meals in #Harvey relief efforts. Each day that number grows thanks to your gifts. ht…",FALSE,0,NA,2017-09-04 23:43:38,FALSE,NA,"904852487219187712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","E_Man78",74,TRUE,FALSE,NA,NA
"781","A Communitarian View of Hurricane #Harvey (which is surprisingly close to a libertarian view). https://t.co/RU2JxoHcup",FALSE,0,NA,2017-09-04 23:43:35,FALSE,NA,"904852474128945153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sms5150",0,FALSE,FALSE,NA,NA
"782","RT @RuthieRedSox: As Texas &amp; Louisiana still recover from #Harvey, please keep Puerto Rico, all islands and Florida in your prayers. 
#Irma…",FALSE,0,NA,2017-09-04 23:43:35,FALSE,NA,"904852471478190080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scout1881",610,TRUE,FALSE,NA,NA
"783","RT @AndyHortin: #Harvey'You Loot We Shoot': Texans Lay Down the Law After Harvey. Perfect example of why we have the 2nd amendment<ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>  https:…",FALSE,0,NA,2017-09-04 23:43:34,FALSE,NA,"904852468152066049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Heavens2Betsy1",42,TRUE,FALSE,NA,NA
"784","So I think it's both possible to resist Trump and acknowledge the importance of @POTUS's attention to #Harvey. He tried.",FALSE,0,NA,2017-09-04 23:43:33,FALSE,NA,"904852463974580225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Toughturtleboy",0,FALSE,FALSE,NA,NA
"785","<ed><U+00A0><U+00BD><ed><U+00B2><U+0096> @JJWatt has raised 19 million dollars for #Harvey recovery &amp; he's been working tirelessly helping anywhere he can… https://t.co/uoIcRS0u3m",FALSE,1,NA,2017-09-04 23:43:31,TRUE,NA,"904852457787936768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1SnoozyQ",1,FALSE,FALSE,NA,NA
"786","RT @jmb063: #NFL Man of the Year: #JJWatt 
#Houston #Harvey #FloodRelief... https://t.co/cmIaM9TSTa",FALSE,0,NA,2017-09-04 23:43:29,FALSE,NA,"904852445775273984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jmb063",2,TRUE,FALSE,NA,NA
"787","Help #Beaumont and my hometown! Donate locally: https://t.co/u33BZAvSI0 #Harvey #HarveyRecovery #SETXRecovery",FALSE,0,NA,2017-09-04 23:43:28,FALSE,NA,"904852443590258688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","oh_ashually",1,FALSE,FALSE,NA,NA
"788","RT @Specodi: @ProPublica Dear America, Is there anyone who can advocate for the victims and heroes of hurricane #Harvey who can help this m…",FALSE,0,NA,2017-09-04 23:43:27,FALSE,NA,"904852438175363073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SchellDebra",105,TRUE,FALSE,NA,NA
"789","RT @Drhammadkhan: Watch fantastic work of @MuslimYouthUSA cleaning up after #Harvey in Houston. @HFUSA https://t.co/Y67qUvFJm1",FALSE,0,NA,2017-09-04 23:43:27,FALSE,NA,"904852437441290240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adilzafar_uk",7,TRUE,FALSE,NA,NA
"790","RT @wemustceasefire: <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> Remember last week when we tweeted Linda Sarsour's #Harvey fund was a fraud?
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> It was!
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>Disgusting! https://t.co/MuO…",FALSE,0,NA,2017-09-04 23:43:22,FALSE,NA,"904852418591997952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vmetu",371,TRUE,FALSE,NA,NA
"791","RT @AnjuliSastry: Lack of proper drainage, no zoning code &amp; unregulated growth contributed to #Harvey damage, says @petercoy: https://t.co/…",FALSE,0,NA,2017-09-04 23:43:22,FALSE,NA,"904852418151800838",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","climate911",30,TRUE,FALSE,NA,NA
"792","RT @DonnaWR8: .@POTUS #TRUMP<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> &amp; @FLOTUS<ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>

When ALL seemed HOPELESS...YOU brought HOPE!

You INSPIRE us ALL!

#MAGA #Harvey @Scavino45 #USA…",FALSE,0,NA,2017-09-04 23:43:22,FALSE,NA,"904852416683704321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j762556",1227,TRUE,FALSE,NA,NA
"793","WOW! Flood from #harvey was so large/widespread that it flexed the Earth's crust! Info from @Geo_GIF https://t.co/DQROwc0VyB",FALSE,6,NA,2017-09-04 23:43:20,FALSE,NA,"904852411067637760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeCrain",3,FALSE,FALSE,NA,NA
"794","RT @pinkk9lover: First #Harvey now #Irma the world is watching.So blessed to have a @POTUS  that truly cares for us. Thank you @realDonaldT…",FALSE,0,NA,2017-09-04 23:43:19,FALSE,NA,"904852407502307328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","klyeamans",850,TRUE,FALSE,NA,NA
"795","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:43:18,FALSE,NA,"904852399554273282",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BenRemaly",11772,TRUE,FALSE,NA,NA
"796","RT @BobbyJindal: Proud of Shaan and others who washed cars today @ Jeff Baptist and raised $2k for #harvey victims. https://t.co/2cHPAZSMiT",FALSE,0,NA,2017-09-04 23:43:18,FALSE,NA,"904852399323566080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fred_marlow",26,TRUE,FALSE,NA,NA
"797","@julieturkewitz @EricLiptonNYT I never got it why houses in the US are build basically from cardboard instead of so… https://t.co/nbhPvGRoQQ",FALSE,6,"julieturkewitz",2017-09-04 23:43:17,TRUE,"904820444343218176","904852398325338112","249950657","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uncover007",0,FALSE,FALSE,NA,NA
"798","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:43:17,FALSE,NA,"904852396890882048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BadMoveByron",11772,TRUE,FALSE,NA,NA
"799","The latest The all-of-india-buzz Daily! https://t.co/Bb38UT0kLa #harvey #laborday",FALSE,0,NA,2017-09-04 23:43:15,FALSE,NA,"904852389378785281",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","India_Buzz",0,FALSE,FALSE,NA,NA
"800","RT @President1Trump: Hurricane #Harvey victims take selfie's with @POTUS! They changed their opinion of him, says ""he's a WONDERFULL man""!h…",FALSE,0,NA,2017-09-04 23:43:15,FALSE,NA,"904852389227896834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skinpo",1888,TRUE,FALSE,NA,NA
"801","RT @rezaaslan: Joel Osteen has warped the gospel and fleeced his congregation into making him worth $70million - Now he's scamming #Harvey…",FALSE,0,NA,2017-09-04 23:43:13,FALSE,NA,"904852381430497280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BSfromPS",565,TRUE,FALSE,NA,NA
"802","RT @C_townBaseball: Coach Butler &amp; his Natl Guard unit have been activated to Texas to help the #Harvey victims. Please keep them in your p…",FALSE,0,NA,2017-09-04 23:43:13,FALSE,NA,"904852380059095040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brooklynscott00",32,TRUE,FALSE,NA,NA
"803","RT @Drhammadkhan: Watch fantastic work of @MuslimYouthUSA cleaning up after #Harvey in Houston. @HFUSA https://t.co/Y67qUvFJm1",FALSE,0,NA,2017-09-04 23:43:12,FALSE,NA,"904852377349521408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SairaZafar15",7,TRUE,FALSE,NA,NA
"804","RT @BethW_NoTrump: Retweet if you have made a donation of any kind (money or items) to #Harvey.
Our President can't do that.",FALSE,0,NA,2017-09-04 23:43:12,FALSE,NA,"904852377278320640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jifisherohio",13,TRUE,FALSE,NA,NA
"805","RT @mb_mclane: Saving our doggie pals!              
#harvey #doglovers #doggiepals https://t.co/hpshZkJI1C",FALSE,0,NA,2017-09-04 23:43:12,FALSE,NA,"904852377122947072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kayyybeee",15,TRUE,FALSE,NA,NA
"806","RT @fema: Here's an updated look at the federal response to #Harvey. https://t.co/ydx62HDfSt",FALSE,0,NA,2017-09-04 23:43:09,FALSE,NA,"904852364657643524",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustinL77570346",432,TRUE,FALSE,NA,NA
"807","#Harvey updates:

Today: helped move salvageable items into storage units and played how much can you fit in a… https://t.co/By0r3cckHm",FALSE,12,NA,2017-09-04 23:43:08,TRUE,NA,"904852358596841472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","craftybeermaven",1,FALSE,FALSE,NA,NA
"808","RT @RandomActsOrg: Our #Harvey fundraiser with Jensen &amp; Danneel Ackles and @TheFamilyBeer is still going strong! Click to help: https://t.c…",FALSE,0,NA,2017-09-04 23:43:06,FALSE,NA,"904852349125935104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","red_seventh",218,TRUE,FALSE,NA,NA
