"","text"
"189","RT @RepGeneGreen: .@SBAgov has opened a Business Recovery Center to help businesses affected by #Harvey.  RT to share! https://t.co/aQieMqJ…"
"190","RT @austin360: Hurricane #Harvey: Stag Provisions’ Flea Market to benefit relief fund https://t.co/73h0WTnWFz https://t.co/B1vHK3b0CG"
"191","Congress using #Harvey victims to justify raising debt ceiling. $8 billion in aid vs a $4 TRILLION budget. That's 0.2%. Insulting, shameless"
"192","#KeishaWilliams would have turned 33 Saturday.
She died in #Harvey flood waters near her Woodforest apt #ABC13!!… https://t.co/W5e6wH485B"
"193","Ty @janinebeckie4, @realroyallyfly, &amp; @RachelDaly3 for making this T-shirt-donation possible. <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> it. 

#Harvey… https://t.co/jkvk2tyrUF"
"194","RT @bcmhouston: Baylor experts offer patient care tips for those who may be facing medical challenges in the aftermath of #Harvey. https://…"
"195","See my recent email for #Harvey clean-up &amp; recovery information. Please share w/ loved ones without internet access. https://t.co/18YAjAjx7x"
"196","RT @densilva2: .@cincofb senior Josh Ofili was one of 87 Cougars displaced by #Harvey. He shared his experiences today: https://t.co/YG0bL9…"
"197",".@unionhouston is serving a family w/ the following needs. Please reach out to me if you can meet any… https://t.co/uuzHlbOCyG"
"198","US 96 between Silsbee and Lumberton open, down to one lane over Slough Bridge #setxnews #harvey"
